"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"5880","Stevie's","Cafe","4","69","500","Yes","No","Cafe","5880","Malleshwaram","Malleshwaram"
"5881","Sticke2Waffles","Dessert Parlor","0","40","100","No","No","Desserts, Ice Cream","5881","Basavanagudi","Basavanagudi"
"5882","StikSnax","Quick Bites","2.6","19","300","No","No","Fast Food","5882","Malleshwaram","Malleshwaram"
"5883","Still Sipping","Cafe","2.8","40","800","Yes","Yes","Cafe, Continental, Coffee","5883","Byresandra,Tavarekere,Madiwala","HSR"
"5884","Stir Fry","Casual Dining","4","209","500","No","No","Chinese, Momos","5884","Brigade Road","Residency Road"
"5885","Stoked!","Cafe","4.3","294","850","No","No","Cafe, Italian, Pizza","5885","Koramangala 4th Block","Koramangala 4th Block"
"5886","Stoned Monkey","Dessert Parlor","3.9","228","500","Yes","No","Desserts, Ice Cream","5886","Bellandur","HSR"
"5887","Stonelicious","Dessert Parlor","4.1","284","300","Yes","No","Desserts, Ice Cream","5887","Brookefield","Marathahalli"
"5888","Stoner","Dessert Parlor","4.4","2697","550","Yes","No","Ice Cream, Pizza, Beverages","5888","MG Road","Indiranagar"
"5889","Stop N Joy","Quick Bites","2.8","40","150","No","No","Street Food, Beverages","5889","Byresandra,Tavarekere,Madiwala","BTM"
"5890","Stop 'N' Joy","Quick Bites","3.8","28","150","Yes","No","Fast Food","5890","Banashankari","Banashankari"
"5891","Stories","Casual Dining, Bar","4.6","2315","1100","Yes","Yes","Continental, North Indian, Chinese","5891","Malleshwaram","Rajajinagar"
"5892","Story Time","Cafe, Quick Bites","3.7","15","500","No","No","North Indian, South Indian, Andhra, Cafe","5892","Bellandur","Bellandur"
"5893","Strada Kitchen & Bar","Casual Dining","3.4","7","1000","No","No","Chinese, North Indian, South Indian","5893","Electronic City","Electronic City"
"5894","Straight From The Heart","Bakery","3.4","5","300","No","No","Bakery, Desserts","5894","Koramangala 4th Block","Koramangala 6th Block"
"5895","Strawbees","Bakery","3.8","52","350","Yes","No","Bakery, Desserts","5895","Marathahalli","Kaggadasapura"
"5896","Strawberry Moon","Casual Dining, Bar","3.4","5","1500","No","No","Finger Food","5896","Lavelle Road","Race Course Road"
"5897","Street Foods by Punjab Grill","Food Court","3.6","19","800","Yes","No","Street Food, North Indian, Beverages","5897","Bannerghatta Road","Bannerghatta Road"
"5898","Strikers Sports Bar and Music","Bar","3.8","73","1200","No","Yes","Continental, North Indian, Chinese","5898","Brigade Road","Shanti Nagar"
"5899","Stuffd","Takeaway, Delivery","3.8","32","500","Yes","No","Continental, North Indian","5899","Indiranagar","Old Airport Road"
"5900","Sub Spot","Delivery","3.3","4","400","No","No","Salad, Sandwich","5900","Koramangala 4th Block","Koramangala 6th Block"
"5901","Subham Pal Kitchen","Quick Bites","3.3","10","300","Yes","No","North Indian, Chinese","5901","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"5902","Subhash Mess","Mess","3.7","23","200","No","No","North Indian","5902","New BEL Road","New BEL Road"
"5903","Subway","Food Court","3.6","12","600","Yes","No","Salad, Fast Food","5903","Bellandur","Bellandur"
"5904","Subz","Casual Dining","4.2","2022","1000","Yes","Yes","North Indian, South Indian","5904","Banashankari","Jayanagar"
"5905","Subzero Korner","Quick Bites","3.3","5","250","No","No","Fast Food","5905","Basavanagudi","Basavanagudi"
"5906","Suchi Ruchi Veg & Non Veg Resturant","Quick Bites","3.2","4","400","No","No","South Indian, North Indian","5906","Bannerghatta Road","Bannerghatta Road"
"5907","Suchithra Biryani House","Casual Dining","3.7","287","450","No","No","Andhra, Biryani, North Indian","5907","Indiranagar","Old Airport Road"
"5908","Sudhir Vada Pav & Paratha Center","Quick Bites","3.4","11","250","Yes","No","Street Food","5908","Brookefield","Marathahalli"
"5909","Sufi Restaurant & Cafe","Casual Dining","3.7","105","800","Yes","No","Iranian, Mughlai, Chinese","5909","Kalyan Nagar","Banaswadi"
"5910","Sufra Restaurant","Casual Dining","3.7","111","800","Yes","Yes","North Indian, Chinese","5910","Byresandra,Tavarekere,Madiwala","HSR"
"5911","Sugar & Spice - Taj MG Road Bengaluru","Dessert Parlor","4","79","800","No","No","Desserts","5911","Brigade Road","MG Road"
"5912","Sugar N Spice","Quick Bites","2.7","16","400","No","No","Fast Food, Beverages","5912","Kalyan Nagar","Kalyan Nagar"
"5913","Sugar Rush","Bakery","3.8","39","300","No","No","Bakery, Desserts","5913","Banashankari","Banashankari"
"5914","Sugarberryz Cakery","Takeaway, Delivery","3.9","52","1200","No","No","Bakery, Desserts","5914","Brigade Road","Commercial Street"
"5915","SugarLove","Delivery","3.5","9","1000","No","No","Desserts","5915","Marathahalli","Kaggadasapura"
"5916","Sugary Bakers - A Boutique Bakery","Bakery","0","40","200","No","No","Bakery, Desserts","5916","Koramangala 6th Block","Koramangala 3rd Block"
"5917","Sukh Sagar","Casual Dining","2.7","182","450","Yes","No","North Indian, South Indian, Chinese, Beverages","5917","Kalyan Nagar","Kammanahalli"
"5918","Sukh Sagar Express","Food Court","3.7","89","500","Yes","No","North Indian, Chinese, Fast Food, Street Food","5918","Malleshwaram","Malleshwaram"
"5919","Sukh Sagar Food Court","Quick Bites","3.8","54","350","No","No","North Indian, South Indian, Chinese, Desserts, Street Food","5919","Lavelle Road","Majestic"
"5920","Sukhi Bhava","Quick Bites","3.6","21","300","Yes","No","Andhra, Chinese, Biryani","5920","Bellandur","Marathahalli"
"5921","Sukhi's Restaurant","Quick Bites","2.7","28","250","No","No","North Indian, Chinese, Momos","5921","Marathahalli","Marathahalli"
"5922","Sulaimani Chai","Quick Bites","3.8","21","100","No","No","Fast Food, Beverages","5922","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"5923","Sulemani Chichas","Quick Bites","2.8","40","300","Yes","No","Biryani, Hyderabadi, Kebab","5923","Kalyan Nagar","Hennur"
"5924","Sultan - Palace Darbar Restaurant","Quick Bites","3.2","7","400","No","No","North Indian, Chinese","5924","Kammanahalli","Nagawara"
"5925","Sultan Rolls & Sandwiches","Quick Bites","3.9","59","300","No","No","Fast Food, Rolls","5925","New BEL Road","New BEL Road"
"5926","Sultan Shah's Restaurant","Quick Bites","3.2","9","200","No","No","North Indian","5926","Brigade Road","Shivajinagar"
"5927","Sultan's Biryani","Delivery","2.8","21","700","No","No","Biryani, North Indian","5927","Indiranagar","Indiranagar"
"5928","Sultan's Creams & Faloodas","Dessert Parlor","3.3","4","150","Yes","No","Ice Cream, Beverages","5928","Frazer Town","Frazer Town"
"5929","Sultans of Spice","Casual Dining","4.5","3458","1300","Yes","Yes","North Indian, Mughlai, Salad","5929","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"5930","Sultan's Restaurant","Quick Bites","3.2","37","200","Yes","No","Hyderabadi, Biryani","5930","Rajajinagar","Magadi Road"
"5931","Sumac Resto Cafe","Cafe","2.8","40","400","No","No","Cafe, Turkish","5931","Kalyan Nagar","Kammanahalli"
"5932","Sumadhura Foods","Quick Bites","3.5","108","300","Yes","No","North Indian, Fast Food","5932","New BEL Road","Sahakara Nagar"
"5933","Sumai Foods","Delivery","3.2","4","350","No","No","North Indian, Chinese, Fast Food","5933","HSR","Bommanahalli"
"5934","Sun Cafe","Quick Bites","3.3","4","300","No","No","North Indian, Chinese, Rolls","5934","New BEL Road","New BEL Road"
"5935","Sunaina Sapice","Quick Bites","3.3","7","200","Yes","No","South Indian, North Indian, Chinese","5935","Malleshwaram","New BEL Road"
"5936","Sunehri","Casual Dining","3.7","67","500","No","No","South Indian","5936","Brigade Road","Richmond Road"
"5937","Sunmart Ice Cream Parlour","Dessert Parlor","2.8","40","100","No","No","Ice Cream","5937","New BEL Road","New BEL Road"
"5938","Sunny Cafe & Kitchen","Cafe, Casual Dining","3.8","499","700","Yes","Yes","Cafe, Continental, Beverages, Desserts","5938","Byresandra,Tavarekere,Madiwala","HSR"
"5939","Sunny Side Bistro","Cafe","3.7","69","700","No","No","Cafe, Continental","5939","Indiranagar","Indiranagar"
"5940","Sunny Spice Chinese Restaurant","Casual Dining","3.3","44","650","Yes","No","Chinese, Thai, Seafood","5940","Malleshwaram","Rajajinagar"
"5941","Sunny's","Casual Dining","2.8","40","2100","No","No","European, Italian, Seafood, Continental","5941","Old Airport Road","Indiranagar"
"5942","Sunny's Kitchen","Takeaway, Delivery","3.6","62","500","Yes","No","Continental, American","5942","Koramangala 6th Block","HSR"
"5943","Sunshadow.in","Delivery","3.5","10","400","No","No","North Indian, Chinese","5943","Marathahalli","Kaggadasapura"
"5944","Super Chef's (New Royal treat)","Quick Bites","0","40","0","No","No","North Indian, Chinese, South Indian","5944","Basavanagudi","Bannerghatta Road"
"5945","Supreme Biryani","Delivery","3.3","18","400","Yes","No","Biryani","5945","Bellandur","South Bangalore"
"5946","Surabhi Restaurant","Casual Dining","0","40","400","No","No","South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream","5946","Koramangala 6th Block","Hosur Road"
"5947","Surya Bakery","Bakery","3.5","21","200","No","No","Bakery","5947","Brigade Road","Shanti Nagar"
"5948","Surya Refreshments","Quick Bites","3.9","40","150","Yes","No","South Indian","5948","Malleshwaram","Malleshwaram"
"5949","Suryawanshi","Casual Dining","3.7","16","700","Yes","No","Maharashtrian, Seafood","5949","Bannerghatta Road","Bannerghatta Road"
"5950","Sutra - The Lalit Ashok Bangalore","Lounge","3.8","273","2200","No","No","Continental, Chinese","5950","Malleshwaram","Seshadripuram"
"5951","Sutra Spice-The Resto Bar","Bar","3.8","34","1000","No","No","South Indian, Andhra","5951","Koramangala 6th Block","Koramangala 4th Block"
"5952","Suvaai Restaurant","Quick Bites","3.3","11","100","Yes","No","South Indian","5952","Indiranagar","Indiranagar"
"5953","Suvai Factory","Casual Dining","3.7","20","600","Yes","Yes","North Indian, South Indian, Chinese","5953","Marathahalli","Marathahalli"
"5954","Suvarna Sree Food Paradise","Quick Bites","2.8","40","400","Yes","No","South Indian, Chinese, North Indian, Biryani, Kebab, Andhra","5954","Kalyan Nagar","Banaswadi"
"5955","SV Crispy Chicken","Quick Bites","3.5","12","200","No","No","Fast Food","5955","Electronic City","Electronic City"
"5956","SV Food Garden","Quick Bites","0","40","0","No","No","Chinese, North Indian, South Indian, Hyderabadi","5956","Koramangala 6th Block","Koramangala 8th Block"
"5957","SV Indian Restaurant","Quick Bites","3.4","12","400","No","No","North Indian, Chinese","5957","Kammanahalli","Hennur"
"5958","SV Juice Corner","Beverage Shop","3.3","6","150","No","No","Beverages, Fast Food","5958","JP Nagar","JP Nagar"
"5959","SV Restaurant","Casual Dining","3.1","8","550","Yes","No","Andhra, North Indian, Chinese, Biryani","5959","Whitefield","Whitefield"
"5960","Svadu Sweets","Quick Bites, Sweet Shop","3.3","5","150","No","No","Street Food, Mithai","5960","Byresandra,Tavarekere,Madiwala","BTM"
"5961","Svadu Sweets & Savouries","Quick Bites, Sweet Shop","3.7","26","200","No","No","Street Food, Mithai","5961","Byresandra,Tavarekere,Madiwala","BTM"
"5962","Svi Food And Juice","Quick Bites","2.8","40","250","No","No","North Indian","5962","Brigade Road","Ulsoor"
"5963","SVKP Daily Fresh","Quick Bites","3.3","5","350","No","No","South Indian","5963","Banashankari","Banashankari"
"5964","SVR Foods - Night Ka Khana","Delivery","3.5","15","400","No","No","North Indian, South Indian","5964","Byresandra,Tavarekere,Madiwala","JP Nagar"
"5965","Swaad","Quick Bites","3.1","25","200","Yes","No","North Indian","5965","Indiranagar","Jeevan Bhima Nagar"
"5966","Swaadam Veg","Casual Dining","3.6","34","300","Yes","No","South Indian, Chinese","5966","Byresandra,Tavarekere,Madiwala","BTM"
"5967","Swaadishta Restaurant","Casual Dining","2.5","60","750","No","No","Andhra, North Indian, Chinese, Mangalorean","5967","Malleshwaram","Sadashiv Nagar"
"5968","Swaadpurna","Casual Dining","3.6","51","450","Yes","No","North Indian, South Indian, Chinese, Biryani","5968","Indiranagar","Jeevan Bhima Nagar"
"5969","Swad","Casual Dining","3.7","38","500","No","No","North Indian, Chinese","5969","Electronic City","Electronic City"
"5970","Swad E Punjab","Casual Dining","3.4","6","600","No","No","North Indian","5970","Brookefield","Whitefield"
"5971","Swad 'E' Punjab","Casual Dining","3.6","49","500","Yes","No","North Indian, Chinese, Mughlai","5971","Byresandra,Tavarekere,Madiwala","HSR"
"5972","Swad Plaza","Quick Bites","3.4","6","400","Yes","No","North Indian, Chinese","5972","Bannerghatta Road","BTM"
"5973","Swad Punjab Da","Quick Bites","3.7","41","150","Yes","No","North Indian","5973","Bannerghatta Road","BTM"
"5974","Swad Punjabi Dhaba","Quick Bites","3.6","20","300","No","No","North Indian","5974","Marathahalli","Thippasandra"
"5975","Swad Rajasthani Bhojanalaya","Quick Bites","3.1","7","400","No","No","North Indian, Fast Food","5975","Whitefield","Whitefield"
"5976","Swad Restaurant","Casual Dining","3.7","115","500","Yes","No","North Indian, Chinese, Seafood","5976","Jayanagar","BTM"
"5977","Swadd Kitchen","Casual Dining","3.4","4","500","Yes","No","North Indian, Fast Food","5977","Banashankari","Basavanagudi"
"5978","Swad-Deshi Restaurant","Quick Bites","3.5","13","300","Yes","No","South Indian, Chinese","5978","Brookefield","Marathahalli"
"5979","Swadesh Tadka","Casual Dining","3.5","179","600","Yes","No","North Indian, Chinese, Beverages","5979","Banashankari","Banashankari"
"5980","Swadh Biryani Tandoori Spot","Quick Bites","2.8","40","200","No","No","Biryani, Fast Food","5980","Malleshwaram","Malleshwaram"
"5981","Swadisht Inn","Casual Dining","3.5","15","700","No","No","Andhra, South Indian, Biryani, North Indian, Mangalorean","5981","Malleshwaram","Rajajinagar"
"5982","Swadisht North Indian Restaurant","Quick Bites","3.2","23","200","No","No","North Indian","5982","HSR","HSR"
"5983","Swadishta","Quick Bites","3.4","7","200","No","No","South Indian, Chinese, North Indian","5983","Whitefield","Whitefield"
"5984","Swadist Pakhal Restaurant","Casual Dining","3.5","16","550","Yes","No","North Indian, Chinese, Bengali","5984","Sarjapur Road","Sarjapur Road"
"5985","Swadist Restaurant","Quick Bites","3.4","16","300","No","No","Oriya, South Indian, Fast Food","5985","Marathahalli","Marathahalli"
"5986","Swadista Aahar","Quick Bites","4.1","775","300","Yes","No","South Indian, North Indian, Chinese, Street Food","5986","Bannerghatta Road","BTM"
"5987","Swagatham Delux - Rayalaseema Spices","Casual Dining","3.4","24","600","Yes","No","Biryani, South Indian, Chinese","5987","Kalyan Nagar","Nagawara"
"5988","Swarga Ruchi","Quick Bites","3.3","10","200","Yes","No","South Indian","5988","Banashankari","Basavanagudi"
"5989","Swasthaa","Casual Dining","2.8","40","600","No","No","Continental, Desserts, Italian, Japanese, Mexican","5989","Brigade Road","Sanjay Nagar"
"5990","Swasthi Spice Restaurant","Casual Dining","3.4","589","600","Yes","No","Andhra, North Indian, Chinese, Biryani","5990","Malleshwaram","Rajajinagar"
"5991","Swathi","Casual Dining","3.8","591","700","Yes","No","Andhra, North Indian, Chinese","5991","Malleshwaram","Rajajinagar"
"5992","Swathi Delux","Casual Dining","3.2","11","450","No","No","North Indian, Chinese, Andhra","5992","Rajajinagar","Majestic"
"5993","Swathi Deluxe","Casual Dining","3.9","218","750","Yes","Yes","North Indian, Seafood, Chinese, Biryani","5993","Bellandur","Marathahalli"
"5994","Swathi Deluxe Restaurant","Casual Dining","2.9","75","500","Yes","No","North Indian","5994","Lavelle Road","Shanti Nagar"
"5995","Swathi Greenland","Casual Dining, Bar","3.7","174","800","Yes","No","Andhra, North Indian, Chinese","5995","Rajajinagar","Vijay Nagar"
"5996","Swathi Maharaja","Casual Dining","3.7","291","750","Yes","Yes","Andhra, North Indian, Chinese, Biryani","5996","Byresandra,Tavarekere,Madiwala","Koramangala 4th Block"
"5997","Swathi Restaurant","Casual Dining","3.8","34","600","No","No","Chinese, North Indian, South Indian","5997","Rajajinagar","Seshadripuram"
"5998","Swathi Restaurant - The Vintage Inn","Casual Dining","3.8","36","900","Yes","No","Andhra, North Indian","5998","Electronic City","Electronic City"
"5999","Swathi Spice n Ice","Casual Dining","3.5","165","700","Yes","No","Andhra, North Indian, Chinese","5999","HSR","HSR"
"6000","Swathi Upahara","Quick Bites","0","40","350","No","No","Biryani, Kebab, Chinese","6000","Basavanagudi","Basavanagudi"
"6001","Swati Cafe","Cafe","2.9","8","500","No","No","Cafe, Fast Food","6001","Basavanagudi","Shanti Nagar"
"6002","Sweet Alley","Takeaway, Delivery","3.4","6","400","No","No","Desserts","6002","Brookefield","Marathahalli"
"6003","Sweet Chariot","Bakery","2.7","19","500","No","No","Bakery, Fast Food","6003","New BEL Road","New BEL Road"
"6004","Sweet Chariot Cafe","Dessert Parlor","3.8","113","500","Yes","No","Continental, Fast Food, Beverages, Desserts","6004","Brigade Road","Residency Road"
"6005","Sweet Moments Express","Sweet Shop, Quick Bites","3.7","18","200","Yes","No","Mithai, Street Food","6005","Kalyan Nagar","Kammanahalli"
"6006","Sweet N Swirl","Dessert Parlor","3.2","17","150","No","No","Desserts, Ice Cream","6006","Banashankari","Banashankari"
"6007","Sweet Nothings Couture Cupcakes","Takeaway, Delivery","3.4","6","250","No","No","Desserts, Bakery","6007","Whitefield","Whitefield"
"6008","Sweet Revenge","Bakery, Quick Bites","3.3","9","300","No","No","Bakery, Fast Food","6008","Electronic City","Electronic City"
"6009","Sweet Revenge Bake N Cafe","Quick Bites","2.8","40","200","No","No","Bakery, Fast Food, Cafe","6009","Electronic City","Electronic City"
"6010","Sweet Tooth - Do you have one?","Takeaway, Delivery","3.3","4","600","No","No","Bakery, Desserts","6010","Whitefield","Whitefield"
"6011","Sweet Truth","Bakery","2.8","40","500","Yes","No","Bakery, Desserts","6011","Basavanagudi","Basavanagudi"
"6012","Swing","Casual Dining, Bar","3.8","201","1000","No","Yes","North Indian, Chinese, Mangalorean","6012","Indiranagar","Indiranagar"
"6013","Swiss Bakery Cafe - Gokulam Grand Hotel & Spa","Cafe, Bakery","3.3","6","400","No","No","Cafe, Bakery","6013","New BEL Road","New BEL Road"
"6014","Symas","Quick Bites","3.7","34","200","Yes","No","Fast Food, Beverages","6014","Malleshwaram","RT Nagar"
"6015","Szechuan Dragon","Casual Dining","4.2","1647","600","Yes","No","Chinese, Thai, Momos","6015","Banashankari","Banashankari"
"6016","Szechwan Court - The Oberoi","Fine Dining","4.1","168","2500","No","No","Chinese","6016","Brigade Road","MG Road"
"6017","T Square","Quick Bites","3.2","4","150","Yes","No","Fast Food, Street Food","6017","Bellandur","Sarjapur Road"
"6018","T.A.K - That Affordable Kitchen","Takeaway, Delivery","3.2","4","400","Yes","No","Continental, North Indian","6018","Bellandur","HSR"
"6019","T3H Cafe","Cafe","3.9","93","300","No","No","Cafe, Italian, American","6019","Banashankari","Banashankari"
"6020","T4U Cafe","Quick Bites","3.6","17","400","No","No","Chinese, Fast Food, Beverages","6020","Kalyan Nagar","Banaswadi"
"6021","Ta'aam","Casual Dining","4.1","402","750","Yes","No","North Indian, Mughlai, Arabian, Chinese","6021","Brigade Road","Cunningham Road"
"6022","Taantraa - Organic Handbaking","Delivery","3.7","28","350","No","No","Bakery, Desserts","6022","Old Airport Road","Indiranagar"
"6023","Taaza Mithai","Sweet Shop","3.8","47","100","Yes","No","Mithai, Street Food","6023","Byresandra,Tavarekere,Madiwala","JP Nagar"
"6024","Taaza Thindi","Quick Bites","4.7","651","100","No","No","South Indian","6024","Banashankari","Banashankari"
"6025","TAB - Take A Break","Cafe","4.1","521","550","No","No","Cafe, Continental, Italian","6025","Bannerghatta Road","JP Nagar"
"6026","Taco Bell","Quick Bites","3.7","168","600","Yes","No","Mexican, American, Fast Food","6026","Bannerghatta Road","Bannerghatta Road"
"6027","Tadka Punjabi Restaurant","Quick Bites","3.3","9","300","Yes","No","North Indian","6027","Whitefield","Whitefield"
"6028","Tadka Singh","Casual Dining","3.4","946","0","No","No","North Indian","6028","Indiranagar","Indiranagar"
"6029","Tadkawala","Takeaway, Delivery","3.4","71","200","Yes","No","North Indian","6029","Frazer Town","Vasanth Nagar"
"6030","Taiki","Casual Dining","2.8","40","1000","Yes","Yes","Asian, Japanese, Korean, Thai, Sushi","6030","Indiranagar","Indiranagar"
"6031","Taipan","Casual Dining","3.5","126","700","Yes","No","Chinese, Momos","6031","Brigade Road","Frazer Town"
"6032","Taishty","Quick Bites","3.7","66","200","Yes","No","North Indian","6032","Whitefield","Whitefield"
"6033","Taiyvan's","Casual Dining","3.7","101","500","Yes","No","Chinese, Thai, Seafood, Malaysian","6033","Malleshwaram","RT Nagar"
"6034","Taj Darbar","Casual Dining","3.8","149","600","Yes","No","Biryani, Mughlai, Chinese","6034","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"6035","Taj Durbar","Quick Bites","3.8","83","400","No","No","North Indian, BBQ","6035","Byresandra,Tavarekere,Madiwala","Jayanagar"
"6036","Taj Hotel","Casual Dining","3.7","110","550","Yes","No","North Indian, Chinese","6036","Church Street","Shivajinagar"
"6037","Taj Restaurant","Quick Bites","3.8","68","400","No","No","North Indian, Biryani","6037","Basavanagudi","City Market"
"6038","Take 5","Lounge","3.5","10","1300","No","No","Chinese, Continental, Steak","6038","Indiranagar","Indiranagar"
"6039","Take A Break","Casual Dining","3.4","7","600","No","No","North Indian","6039","Basavanagudi","Shanti Nagar"
"6040","Take EAT Easy","Takeaway, Delivery","3.6","20","200","Yes","No","North Indian","6040","Bellandur","Sarjapur Road"
"6041","Take It!","Delivery","3.1","39","450","Yes","No","Continental, Chinese, Fast Food","6041","Brookefield","Marathahalli"
"6042","Take Us Away","Delivery","0","40","0","No","No","Continental","6042","Koramangala 6th Block","Koramangala 5th Block"
"6043","Talk Ease","Cafe","3.1","10","200","No","No","Cafe","6043","Brigade Road","City Market"
"6044","Talk Over Table","Cafe","4","282","500","No","No","Cafe","6044","Indiranagar","Jeevan Bhima Nagar"
"6045","Talk Over Table Cafe","Cafe","3.7","85","500","No","No","Cafe, Italian, Beverages","6045","HSR","HSR"
"6046","Talk To The Hand","Bar","3.3","4","900","No","No","Chinese, North Indian","6046","Lavelle Road","Majestic"
"6047","Tall Blonde French","Quick Bites","3.6","82","400","Yes","No","Fast Food","6047","Marathahalli","Brookefield"
"6048","Tamarind","Casual Dining","2.7","227","750","Yes","No","Chinese, North Indian, Continental","6048","Kalyan Nagar","Rammurthy Nagar"
"6049","Tamarind - Tamarind Hospitality","Casual Dining","3.9","611","750","Yes","No","Chinese, Continental, North Indian","6049","Kalyan Nagar","Banaswadi"
"6050","Tandoor","Fine Dining","3.9","1360","2100","Yes","Yes","North Indian","6050","Indiranagar","MG Road"
"6051","Tandoor And Spice","Casual Dining","4","180","550","Yes","No","North Indian, Chinese, Biryani, Hyderabadi","6051","Bannerghatta Road","JP Nagar"
"6052","Tandoor Bhatti","Quick Bites","2.8","40","300","Yes","No","North Indian, Fast Food","6052","Kalyan Nagar","Rammurthy Nagar"
"6053","Tandoor Box","Casual Dining","3.5","69","850","Yes","No","Mughlai, North Indian, Biryani","6053","Brookefield","Brookefield"
"6054","Tandoor Chai House","Quick Bites","2.8","40","200","Yes","No","Street Food, Sandwich, Rolls, Beverages","6054","Bannerghatta Road","JP Nagar"
"6055","Tandoor Da Funda","Quick Bites","3.6","15","350","No","No","North Indian","6055","Brigade Road","MG Road"
"6056","Tandoor Garden","Quick Bites","3.6","70","350","Yes","No","North Indian, Chinese, Kebab","6056","Bannerghatta Road","BTM"
"6057","Tandoor Hub & Golmaal Paratha","Quick Bites","3.2","4","450","No","No","North Indian","6057","Byresandra,Tavarekere,Madiwala","BTM"
"6058","Tandoor Hut","Casual Dining","2.2","90","750","No","No","North Indian, Chinese","6058","Bannerghatta Road","Bannerghatta Road"
"6059","Tandoor Merchant","Takeaway, Delivery","3.4","22","500","Yes","No","North Indian, Chinese, Fast Food","6059","Byresandra,Tavarekere,Madiwala","BTM"
"6060","Tandoor Nation","Quick Bites","3","39","400","Yes","No","North Indian, Chinese","6060","Bannerghatta Road","BTM"
"6061","Tandoor-De-Naal","Takeaway, Delivery","3.8","35","200","No","No","Fast Food","6061","Byresandra,Tavarekere,Madiwala","BTM"
"6062","Tandoori Bytes","Casual Dining","3.6","59","700","Yes","No","North Indian","6062","Banashankari","Kumaraswamy Layout"
"6063","Tandoori Chowk","Quick Bites","3.5","98","400","Yes","No","North Indian, Chinese","6063","Marathahalli","Marathahalli"
"6064","Tandoori Club","Casual Dining","2.8","40","750","Yes","No","North Indian, Chinese, Continental","6064","Bellandur","HSR"
"6065","Tandoori Delight","Quick Bites","3","46","300","Yes","No","North Indian, Chinese","6065","New BEL Road","New BEL Road"
"6066","Tandoori Junction","Quick Bites","3.9","81","400","Yes","No","North Indian, Chinese, Biryani","6066","Brookefield","Marathahalli"
"6067","Tandoori Knight","Quick Bites","3","290","450","Yes","No","North Indian, Chinese, Biryani, Kebab","6067","Banashankari","Banashankari"
"6068","Tandoori Paradise","Delivery","3.5","8","600","Yes","No","North Indian, Chinese","6068","Bannerghatta Road","BTM"
"6069","Tandoori Spot","Quick Bites","3.5","13","500","No","No","North Indian, Chinese","6069","Bannerghatta Road","JP Nagar"
"6070","Tandoori Taal","Casual Dining","4.3","1788","900","Yes","Yes","Biryani, North Indian","6070","Indiranagar","Indiranagar"
"6071","Tandoorinn","Quick Bites","3.2","5","300","No","No","Biryani, Mughlai, Chinese","6071","Indiranagar","Old Madras Road"
"6072","Tandooriwala","Food Court, Quick Bites","2.7","24","700","Yes","No","North Indian, Mughlai","6072","Brookefield","Whitefield"
"6073","Tandurust","Takeaway, Delivery","3.6","27","300","No","No","North Indian, South Indian","6073","Bellandur","Bellandur"
"6074","Tang of Jamaica","Casual Dining","3.4","28","900","No","No","American, Mexican, BBQ","6074","Kalyan Nagar","Kalyan Nagar"
"6075","Tangerine - Davanam Sarovar Portico Suites","Casual Dining","4","40","1100","Yes","Yes","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","6075","Byresandra,Tavarekere,Madiwala","Koramangala 2nd Block"
"6076","Tango","Quick Bites","3.8","51","200","No","No","Fast Food","6076","Rajajinagar","Basaveshwara Nagar"
"6077","Tango Bango","Takeaway, Delivery","3.5","124","500","Yes","No","Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food","6077","Indiranagar","Jeevan Bhima Nagar"
"6078","Tango Sandwich King","Quick Bites","3.5","9","200","Yes","No","Fast Food, Sandwich","6078","Rajajinagar","Basaveshwara Nagar"
"6079","Tangra Indo - Chinese Cuisine","Food Court","3.5","29","400","Yes","No","Chinese, Thai","6079","Jayanagar","Jayanagar"
"6080","TangyLicious","Takeaway, Delivery","2.6","16","400","Yes","No","Fast Food","6080","Byresandra,Tavarekere,Madiwala","BTM"
"6081","Tanna's Kitchen","Quick Bites","3.1","7","250","Yes","No","Italian, Chinese, Street Food","6081","Banashankari","Kumaraswamy Layout"
"6082","Tanoor Tandoori","Delivery","2.8","40","550","Yes","No","North Indian, Mughlai, Chinese, Kebab, Biryani","6082","Bellandur","Bellandur"
"6083","Tanuja Home Food","Delivery","3.1","18","300","Yes","No","North Indian","6083","Brookefield","Whitefield"
"6084","Tap House Resto Bar","Casual Dining, Bar","3.4","183","900","Yes","Yes","Chinese, North Indian, Thai","6084","Electronic City","Electronic City"
"6085","Tapout Tavern","Casual Dining, Pub","4.1","322","1200","Yes","Yes","American, Asian, Continental, North Indian, South Indian, Chinese","6085","Bellandur","Sarjapur Road"
"6086","Tapri By The Corner","Quick Bites","4.1","205","250","Yes","No","Fast Food","6086","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"6087","Tarama Bengali Food","Quick Bites","3.2","4","200","No","No","Bengali","6087","Whitefield","Whitefield"
